key,zh,ms,ja,en,ko
APPROVAL,,,配布待ち,,배포대기
EDIT,编辑,,編集,,편집
RELEASED,,,配布,,배포
button.accept,同意,Terima,承認,Accept,승인
button.account,账户,Akaun,アカウント,account,계정
button.activate,激活,aktifkan,アクティブ化,activate,활성화
button.add,添加,tambah,追加,add,추가
button.add-child-dept,添加下级部门,tambah jabatan bawahan,下位部門追加,sub. dept.,하위부서
button.add-sibling-dept,添加同级部门,tambah jabatan sejawat,同等部門追加,peer dept.,동급부서
button.align-bottom,底部对齐,Jajar Bawah,下揃え,align bottom,아래쪽 정렬
button.align-center,居中对齐,Jajar Tengah,中央揃え,align center,중앙 정렬
button.align-left,左对齐,Jajar Kiri,左側揃え,align left,좌측 정렬
button.align-middle,中央对齐,Jajar Tengah,真ん中揃え,align middle,가운데 정렬
button.align-right,右对齐,Jajar Kanan,右揃え,align right,우측 정렬
button.align-top,顶部对齐,Jajar Atas,上揃え,align top,위쪽 정렬
button.back-to-info,回到版本信息,Kembali ke Maklumat,前に戻る,back to information,뒤로 가기
button.bring-forward,置到最前端,Bawa Ke Depan,最前面へ移動,bring forward,맨 앞으로 보내기
button.bring-to-back,置后,Bawa Ke Belakang,背面へ移動,bring to back,뒤로 보내기
button.bring-to-front,置前,Bawa Ke Hadapan,前面へ移動,bring to front,앞으로 보내기
button.cancel,取消,batal,キャンセル,cancel,취소
button.cancel-request-confirm,取消申请,Batal,再編集,Re-Edit,재 편집
button.cancel-request-release,申请发布取消,Batal,再編集,Re-Edit,재 편집
button.change_password,更改密码,Tukar Kata Laluan,パスワード変更,Change Password,비밀번호 변경
button.check,勾选,Semak,チェック,Check,체크
button.check-initialized,确认初始化的设置。,Semak Tetapan Dijangka,初期化設定チェック,Check Initialized Settings,초기화 설정 체크
button.clear,初始化,Kosongkan,フォーム リセット,Clear,폼 리셋
button.clear-cache,清除缓存,kosongkan cache,キャッシュをクリア,clear cache,캐시 삭제
button.close,关闭,Tutup,閉じる,Close,닫기
button.confirm,确认,sahkan,確認,confirm,확인
button.connect,连接,sambung,接続,connect,연결
button.copy,复制,salin,コピー,copy,복사
button.copy from,复制自,salin dari,コピーしてくる,copy from,복사해오기
